         0.9942, 0.9934, 0.9935, 0.9951, 0.9929, 0.9933, 0.9937, 0.9924, 0.9949,
         0.9942, 0.9930, 0.9931, 0.9950, 0.9938, 0.9920, 0.9912, 0.9943, 0.9946,
         0.9930, 0.9938, 0.9933, 0.9934, 0.9932, 0.9932, 0.9899, 0.9931, 0.9929,
         0.9916, 0.9914, 0.9930, 0.9933, 0.9927, 0.9952, 0.9927, 0.9945, 0.9949,
         0.9919, 0.9946, 0.9940, 0.9921, 0.9939, 0.9945, 0.9947, 0.9941, 0.9937,
         0.9925, 0.9897, 0.9935, 0.9939, 0.9928, 0.9930, 0.9938, 0.9939, 0.9937,
         0.9942, 0.9933, 0.9942, 0.9939, 0.9943, 0.9934, 0.9949, 0.9941, 0.9924,
         0.9923, 0.9939, 0.9942, 0.9943, 0.9940, 0.9931, 0.9943, 0.9938, 0.9944,
         0.9907, 0.9939, 0.9943, 0.9938, 0.9944, 0.9918, 0.9947, 0.9949, 0.9948,
         0.9927, 0.9942, 0.9947, 0.9936, 0.9935, 0.9947, 0.9944, 0.9947, 0.9937,
         0.9937, 0.9946, 0.9931, 0.9925, 0.9944, 0.9923, 0.9950, 0.9947, 0.9946,
         0.9930, 0.9942, 0.9940, 0.9911, 0.9940, 0.9946, 0.9918, 0.9944, 0.9930,
         0.9937, 0.9927, 0.9944, 0.9946, 0.9949, 0.9942, 0.9921, 0.9931, 0.9940,
         0.9926, 0.9949, 0.9941, 0.9946, 0.9943, 0.9934, 0.9948, 0.9946, 0.9932,
         0.9943, 0.9948, 0.9939, 0.9929, 0.9910, 0.9922, 0.9929, 0.9949, 0.9925,
         0.9942, 0.9949, 0.9933, 0.9933, 0.9943, 0.9919, 0.9938, 0.9944, 0.9937,
         0.9932, 0.9949, 0.9943, 0.9946, 0.9949, 0.9943, 0.9946, 0.9942, 0.9930,
         0.9931, 0.9938, 0.9929, 0.9916, 0.9927, 0.9941, 0.9933, 0.9927, 0.9948,
         0.9938, 0.9948, 0.9936, 0.9924, 0.9939, 0.9945, 0.9937, 0.9935, 0.9940,
         0.9934, 0.9940, 0.9938, 0.9939, 0.9936, 0.9932, 0.9947, 0.9930, 0.9941,
         0.9940, 0.9951, 0.9949, 0.9943, 0.9947, 0.9931, 0.9938, 0.9946, 0.9937,
         0.9935, 0.9940, 0.9940, 0.9941, 0.9943, 0.9940, 0.9930, 0.9941, 0.9935,
         0.9942, 0.9950, 0.9926, 0.9950, 0.9933, 0.9929, 0.9942, 0.9949, 0.9941,
         0.9930, 0.9947, 0.9951, 0.9940, 0.9946, 0.9946, 0.9934, 0.9921, 0.9912,
         0.9938, 0.9941, 0.9941, 0.9934, 0.9943, 0.9942, 0.9935, 0.9946, 0.9940,
         0.9940, 0.9947, 0.9939, 0.9933, 0.9937, 0.9950, 0.9941, 0.9944, 0.9947,
         0.9937, 0.9914, 0.9945, 0.9945, 0.9933, 0.9946, 0.9936, 0.9943, 0.9945,
         0.9937, 0.9938, 0.9944, 0.9941, 0.9931, 0.9939, 0.9944, 0.9947, 0.9940,
         0.9920, 0.9929, 0.9945, 0.9945, 0.9943, 0.9939, 0.9933, 0.9917, 0.9941,
         0.9916, 0.9930, 0.9927, 0.9929, 0.9943, 0.9951, 0.9926, 0.9919, 0.9940,
         0.9947, 0.9949, 0.9942, 0.9936, 0.9918, 0.9945, 0.9942, 0.9914, 0.9947,
         0.9929, 0.9940, 0.9933, 0.9949, 0.9938, 0.9949, 0.9942, 0.9935, 0.9935,
         0.9940, 0.9944, 0.9940, 0.9943, 0.9927, 0.9927, 0.9943, 0.9938, 0.9929,
         0.9939, 0.9942, 0.9933, 0.9941, 0.9938, 0.9929, 0.9921, 0.9937, 0.9913,
         0.9945, 0.9918, 0.9937, 0.9926, 0.9950, 0.9936, 0.9932, 0.9943, 0.9897,
         0.9937, 0.9925, 0.9941, 0.9949, 0.9927, 0.9942, 0.9942, 0.9927, 0.9941,
         0.9942, 0.9948, 0.9947, 0.9948, 0.9927, 0.9941, 0.9924, 0.9944, 0.9930,
         0.9937, 0.9925, 0.9923, 0.9930, 0.9935, 0.9937, 0.9917, 0.9937, 0.9938,
         0.9941, 0.9942, 0.9921, 0.9929, 0.9918, 0.9948, 0.9936, 0.9945, 0.9942,
         0.9943, 0.9926, 0.9945, 0.9945, 0.9942, 0.9938, 0.9945, 0.9949, 0.9941,
         0.9947, 0.9940, 0.9948, 0.9939, 0.9937, 0.9952, 0.9932, 0.9930, 0.9945,
         0.9946, 0.9936, 0.9948, 0.9940, 0.9932, 0.9947, 0.9945, 0.9929, 0.9941,
         0.9926, 0.9943, 0.9931, 0.9929, 0.9949, 0.9947, 0.9943, 0.9943, 0.9948,
         0.9940, 0.9942, 0.9942, 0.9939, 0.9943, 0.9944, 0.9937, 0.9935, 0.9939,
         0.9898, 0.9936, 0.9932, 0.9945, 0.9950, 0.9947, 0.9929, 0.9946, 0.9943,
         0.9938, 0.9942, 0.9947, 0.9943, 0.9948, 0.9941, 0.9940, 0.9943, 0.9936,
         0.9951, 0.9948, 0.9925, 0.9928, 0.9951, 0.9939, 0.9941, 0.9928, 0.9930,
         0.9927, 0.9926, 0.9937, 0.9949, 0.9951, 0.9944, 0.9934, 0.9947, 0.9945,
         0.9945, 0.9951, 0.9929, 0.9946, 0.9945, 0.9934, 0.9939, 0.9931, 0.9931,
         0.9943, 0.9930, 0.9929, 0.9936, 0.9944, 0.9948, 0.9942, 0.9901, 0.9939,
         0.9941, 0.9922, 0.9930, 0.9939, 0.9926, 0.9949, 0.9940, 0.9949, 0.9943,
         0.9936, 0.9947, 0.9946, 0.9907, 0.9935, 0.9937, 0.9938, 0.9901, 0.9942,
         0.9933, 0.9938, 0.9942, 0.9939, 0.9938, 0.9932, 0.9944, 0.9949, 0.9941,
         0.9942, 0.9943, 0.9936, 0.9947, 0.9944, 0.9943, 0.9935, 0.9942, 0.9946,
         0.9939, 0.9938, 0.9938, 0.9941, 0.9947, 0.9905, 0.9944, 0.9931, 0.9920,
         0.9942, 0.9936, 0.9924, 0.9941, 0.9950, 0.9930, 0.9912, 0.9906, 0.9932,
         0.9931, 0.9942, 0.9926, 0.9944, 0.9931, 0.9922, 0.9926, 0.9946, 0.9933,
         0.9945, 0.9938, 0.9942, 0.9949, 0.9942, 0.9938, 0.9948, 0.9947, 0.9923,
         0.9930, 0.9943, 0.9937, 0.9943, 0.9947, 0.9924, 0.9944, 0.9939, 0.9932,
         0.9939, 0.9943, 0.9941, 0.9928, 0.9939, 0.9937, 0.9934, 0.9942, 0.9944,
         0.9919, 0.9947, 0.9939, 0.9936, 0.9940, 0.9943, 0.9939, 0.9942, 0.9935,
         0.9948, 0.9946, 0.9933, 0.9941, 0.9949, 0.9944, 0.9942, 0.9936, 0.9936,
         0.9944, 0.9944, 0.9943, 0.9944, 0.9941, 0.9950, 0.9941, 0.9943, 0.9937,
         0.9926, 0.9936, 0.9945, 0.9939, 0.9947, 0.9942, 0.9922, 0.9928, 0.9946,
         0.9942, 0.9944, 0.9940, 0.9950, 0.9939, 0.9932, 0.9941, 0.9921, 0.9946,
         0.9935, 0.9927, 0.9944, 0.9928, 0.9942, 0.9949, 0.9933, 0.9944, 0.9934,
         0.9946, 0.9942, 0.9932, 0.9939, 0.9937, 0.9938, 0.9936, 0.9930, 0.9950,
         0.9940, 0.9941, 0.9946, 0.9940, 0.9934, 0.9941, 0.9942, 0.9948, 0.9948,
         0.9946, 0.9940, 0.9947, 0.9939, 0.9934, 0.9944, 0.9919, 0.9949, 0.9935,
         0.9922, 0.9948, 0.9923, 0.9931, 0.9950, 0.9946, 0.9933, 0.9949, 0.9933,
         0.9944, 0.9930, 0.9899, 0.9940, 0.9944, 0.9949, 0.9948, 0.9938, 0.9943,
         0.9937, 0.9944, 0.9935, 0.9928, 0.9936, 0.9923, 0.9950, 0.9932, 0.9945,
         0.9942, 0.9910, 0.9943, 0.9944, 0.9940, 0.9942, 0.9932, 0.9924, 0.9939,
         0.9947, 0.9935, 0.9940, 0.9945, 0.9938, 0.9940, 0.9938, 0.9949, 0.9941,
         0.9938, 0.9949, 0.9949, 0.9917, 0.9942, 0.9950, 0.9945, 0.9944, 0.9945,
         0.9947, 0.9939, 0.9929, 0.9942, 0.9935, 0.9941, 0.9931, 0.9942, 0.9945,
         0.9929, 0.9949, 0.9950, 0.9941, 0.9943, 0.9922, 0.9907, 0.9936, 0.9945,
         0.9933, 0.9945, 0.9932, 0.9901, 0.9924, 0.9926, 0.9942, 0.9939, 0.9935,
         0.9939, 0.9951, 0.9944, 0.9941, 0.9949, 0.9945, 0.9943, 0.9938, 0.9939,
         0.9937, 0.9946, 0.9941, 0.9935, 0.9940, 0.9933, 0.9941, 0.9945, 0.9935,
         0.9941, 0.9934, 0.9941, 0.9934, 0.9950, 0.9936, 0.9947, 0.9934, 0.9944,
         0.9931, 0.9952, 0.9918, 0.9944, 0.9936, 0.9942, 0.9946, 0.9941, 0.9932,
         0.9943, 0.9938, 0.9935, 0.9949, 0.9937, 0.9929, 0.9927, 0.9942, 0.9940,
         0.9944, 0.9939, 0.9937, 0.9923, 0.9939, 0.9928, 0.9929, 0.9926, 0.9942,
         0.9942, 0.9951, 0.9946, 0.9938, 0.9938, 0.9937, 0.9943, 0.9933, 0.9944,
         0.9942, 0.9944, 0.9935, 0.9938, 0.9895, 0.9944, 0.9943, 0.9940, 0.9937,
         0.9936, 0.9942, 0.9945, 0.9941, 0.9937, 0.9926, 0.9936, 0.9948, 0.9942,
         0.9947, 0.9945, 0.9945, 0.9950, 0.9944, 0.9928, 0.9924, 0.9943, 0.9947,
         0.9934, 0.9933, 0.9945, 0.9951, 0.9942, 0.9943, 0.9933, 0.9948, 0.9947,
         0.9942, 0.9943, 0.9944, 0.9941, 0.9930, 0.9933, 0.9946, 0.9936, 0.9928,
         0.9935, 0.9931, 0.9925, 0.9947, 0.9934, 0.9934, 0.9932, 0.9952, 0.9942,
         0.9950, 0.9940, 0.9942, 0.9943, 0.9926, 0.9945, 0.9939, 0.9939, 0.9937,
         0.9922, 0.9941, 0.9943, 0.9934, 0.9932, 0.9937, 0.9938, 0.9944, 0.9947,
         0.9937, 0.9924, 0.9934, 0.9948, 0.9944, 0.9948, 0.9930, 0.9944, 0.9942,
         0.9939, 0.9945, 0.9937, 0.9942, 0.9935, 0.9943, 0.9942, 0.9917, 0.9941,
         0.9939, 0.9937, 0.9936, 0.9938, 0.9934, 0.9904, 0.9928, 0.9944, 0.9945,
         0.9936, 0.9939, 0.9943, 0.9943, 0.9930, 0.9943, 0.9941, 0.9943, 0.9940,
         0.9932, 0.9943, 0.9927, 0.9940, 0.9945, 0.9939, 0.9948, 0.9943, 0.9944,
         0.9951, 0.9936, 0.9930, 0.9937, 0.9943, 0.9940, 0.9944, 0.9942, 0.9942,
         0.9948, 0.9940, 0.9947, 0.9909, 0.9926, 0.9945, 0.9949, 0.9939, 0.9944,
         0.9933, 0.9914, 0.9944, 0.9921, 0.9950, 0.9928, 0.9941, 0.9941, 0.9940,
         0.9940, 0.9944, 0.9945, 0.9924, 0.9924, 0.9932, 0.9936, 0.9938, 0.9949,
         0.9953, 0.9947, 0.9941, 0.9947, 0.9937, 0.9944, 0.9921, 0.9942, 0.9950,
         0.9938, 0.9930, 0.9949, 0.9941, 0.9950, 0.9917, 0.9930, 0.9943, 0.9945,
         0.9901, 0.9929, 0.9946, 0.9943, 0.9931, 0.9942, 0.9946, 0.9944, 0.9935,
         0.9938, 0.9934, 0.9924, 0.9944, 0.9936, 0.9934, 0.9928, 0.9939, 0.9921,
         0.9936, 0.9950, 0.9946, 0.9944, 0.9941, 0.9939, 0.9943, 0.9939, 0.9922,
         0.9946, 0.9937, 0.9949, 0.9931, 0.9947, 0.9943, 0.9937, 0.9944, 0.9941,
         0.9936, 0.9943, 0.9952, 0.9951, 0.9941, 0.9940, 0.9933, 0.9946, 0.9942,
         0.9942, 0.9949, 0.9946, 0.9932, 0.9931, 0.9943, 0.9934, 0.9944, 0.9941,
         0.9945, 0.9944, 0.9927, 0.9945, 0.9933, 0.9943, 0.9924, 0.9918, 0.9940,
         0.9945, 0.9939, 0.9945, 0.9937, 0.9944, 0.9941, 0.9937, 0.9937, 0.9941,
         0.9944, 0.9933, 0.9940, 0.9923, 0.9941, 0.9936, 0.9951, 0.9939, 0.9930,
         0.9945, 0.9949, 0.9942, 0.9944, 0.9937, 0.9930, 0.9944, 0.9945, 0.9902,
         0.9946, 0.9936, 0.9937, 0.9945, 0.9937, 0.9947, 0.9928, 0.9942, 0.9950,
         0.9942, 0.9934, 0.9931, 0.9951, 0.9942, 0.9944, 0.9942, 0.9939, 0.9946,
         0.9947, 0.9946, 0.9930, 0.9933, 0.9936, 0.9930, 0.9925, 0.9942, 0.9930,
         0.9929, 0.9946, 0.9905, 0.9937, 0.9948, 0.9935, 0.9944, 0.9948, 0.9946,
         0.9944, 0.9948, 0.9952, 0.9937, 0.9945, 0.9931, 0.9944, 0.9935, 0.9945,
         0.9951, 0.9936, 0.9946, 0.9899, 0.9942, 0.9914, 0.9944, 0.9941, 0.9947,
         0.9940, 0.9936, 0.9942, 0.9936, 0.9946, 0.9939, 0.9951, 0.9945, 0.9947,
         0.9943, 0.9946, 0.9919, 0.9931, 0.9938, 0.9943, 0.9943, 0.9927, 0.9943,
         0.9951, 0.9948, 0.9916, 0.9942, 0.9947, 0.9950, 0.9943, 0.9936, 0.9941,
         0.9939, 0.9926, 0.9931, 0.9940, 0.9946, 0.9936, 0.9946, 0.9944, 0.9928,
         0.9935, 0.9926, 0.9944, 0.9941, 0.9943, 0.9930, 0.9942, 0.9915, 0.9940,
         0.9946, 0.9936, 0.9934, 0.9931, 0.9940, 0.9939, 0.9950, 0.9921, 0.9945,
         0.9943, 0.9945, 0.9928, 0.9936, 0.9938, 0.9947, 0.9935, 0.9930, 0.9949,
         0.9943, 0.9918, 0.9946, 0.9931, 0.9930, 0.9935, 0.9919, 0.9948, 0.9922,
         0.9935, 0.9932, 0.9942, 0.9946, 0.9947, 0.9945, 0.9947, 0.9939, 0.9938,
         0.9944, 0.9913, 0.9938, 0.9922, 0.9937, 0.9944, 0.9930, 0.9942, 0.9942,
         0.9944, 0.9937, 0.9936, 0.9943, 0.9932, 0.9949, 0.9946, 0.9928, 0.9946,
         0.9941, 0.9946, 0.9952, 0.9920, 0.9943, 0.9927, 0.9944, 0.9933, 0.9951,
         0.9937, 0.9932, 0.9944, 0.9945, 0.9938, 0.9943, 0.9936, 0.9941, 0.9940,
         0.9936, 0.9912, 0.9945, 0.9944, 0.9932, 0.9944, 0.9940, 0.9930, 0.9950,
         0.9945, 0.9938, 0.9940, 0.9928, 0.9942, 0.9941, 0.9942, 0.9947, 0.9948,
         0.9936, 0.9942, 0.9942, 0.9934, 0.9941, 0.9943, 0.9934, 0.9933, 0.9947,
         0.9939, 0.9943, 0.9942, 0.9939, 0.9946, 0.9944, 0.9941, 0.9936, 0.9938,
         0.9926, 0.9943, 0.9942, 0.9945, 0.9943, 0.9947, 0.9923, 0.9947, 0.9950,
         0.9932, 0.9946, 0.9942, 0.9949, 0.9926, 0.9933, 0.9942, 0.9940, 0.9924,
         0.9943, 0.9943, 0.9947, 0.9924, 0.9934, 0.9944, 0.9949, 0.9933, 0.9942,
         0.9926, 0.9944, 0.9946, 0.9926, 0.9934, 0.9952, 0.9926, 0.9938, 0.9944,
         0.9941, 0.9949, 0.9937, 0.9952, 0.9937, 0.9945, 0.9945, 0.9935, 0.9942,
         0.9921, 0.9940, 0.9946, 0.9951, 0.9950, 0.9938, 0.9934, 0.9939, 0.9946,
         0.9927, 0.9927, 0.9940, 0.9919, 0.9937, 0.9938, 0.9934, 0.9939, 0.9921,
         0.9934, 0.9949, 0.9906, 0.9949, 0.9938, 0.9949, 0.9937, 0.9942, 0.9946,
         0.9946, 0.9938, 0.9931, 0.9940, 0.9944, 0.9949, 0.9938, 0.9948, 0.9938,
         0.9936, 0.9949, 0.9919, 0.9945, 0.9950, 0.9935, 0.9926, 0.9943, 0.9913,
         0.9928, 0.9943, 0.9948, 0.9938, 0.9946, 0.9934, 0.9940, 0.9930, 0.9947,
         0.9924, 0.9906, 0.9932, 0.9931, 0.9938, 0.9944, 0.9932, 0.9931, 0.9938,
         0.9948, 0.9934, 0.9924, 0.9924, 0.9942, 0.9943, 0.9929, 0.9937, 0.9939,
         0.9934, 0.9949, 0.9929, 0.9933, 0.9937, 0.9947, 0.9932, 0.9939, 0.9929,
         0.9931, 0.9931, 0.9950, 0.9929, 0.9943, 0.9933, 0.9948, 0.9944, 0.9936,
         0.9930, 0.9931, 0.9938, 0.9944, 0.9941, 0.9920, 0.9939, 0.9937, 0.9939,
         0.9944, 0.9921, 0.9946, 0.9936, 0.9947, 0.9934, 0.9942, 0.9922, 0.9946,
         0.9945, 0.9921, 0.9947, 0.9928, 0.9938, 0.9930, 0.9899, 0.9935, 0.9933,
         0.9931, 0.9937, 0.9944, 0.9942, 0.9946, 0.9939, 0.9930, 0.9946, 0.9951,
         0.9945, 0.9932, 0.9936, 0.9928, 0.9939, 0.9939, 0.9942, 0.9938, 0.9945,
         0.9942, 0.9939, 0.9931, 0.9934, 0.9945, 0.9951, 0.9937, 0.9933, 0.9940,
         0.9945, 0.9933, 0.9935, 0.9944, 0.9950, 0.9948, 0.9936, 0.9950, 0.9940,
         0.9928, 0.9929, 0.9939, 0.9945, 0.9940, 0.9944, 0.9947, 0.9939, 0.9925,
         0.9891, 0.9930, 0.9939, 0.9943, 0.9946, 0.9946, 0.9923, 0.9947, 0.9927,
         0.9938, 0.9927, 0.9947, 0.9944, 0.9947, 0.9943, 0.9941, 0.9932, 0.9948,
         0.9944, 0.9938, 0.9949, 0.9924, 0.9938, 0.9934, 0.9943, 0.9939, 0.9944,
         0.9936, 0.9930, 0.9939, 0.9923, 0.9943, 0.9925, 0.9944, 0.9943, 0.9946,
         0.9939, 0.9930, 0.9939, 0.9942, 0.9927, 0.9920, 0.9948, 0.9946, 0.9915,
         0.9939, 0.9934, 0.9949, 0.9926, 0.9921, 0.9945, 0.9948, 0.9940, 0.9944,
         0.9917, 0.9947, 0.9938, 0.9946, 0.9941, 0.9940, 0.9944, 0.9945, 0.9947,
         0.9944, 0.9942, 0.9941, 0.9943, 0.9930, 0.9951, 0.9935, 0.9941, 0.9948,
         0.9950, 0.9914, 0.9943, 0.9938, 0.9944, 0.9942, 0.9939, 0.9935, 0.9908,
         0.9926, 0.9935, 0.9938, 0.9943, 0.9948, 0.9946, 0.9943, 0.9943, 0.9941,
         0.9934, 0.9923, 0.9937, 0.9940, 0.9935, 0.9930, 0.9940, 0.9942, 0.9940,
         0.9942, 0.9941, 0.9949, 0.9937, 0.9931, 0.9927, 0.9928, 0.9938, 0.9942,
         0.9945, 0.9942, 0.9942, 0.9934, 0.9921, 0.9941, 0.9918, 0.9922, 0.9941,
         0.9943, 0.9942, 0.9944, 0.9940, 0.9942, 0.9941, 0.9940, 0.9944, 0.9943,
         0.9937, 0.9942, 0.9922, 0.9943, 0.9940, 0.9932, 0.9933, 0.9936, 0.9935,
         0.9925, 0.9943, 0.9936, 0.9941, 0.9942, 0.9942, 0.9906, 0.9936, 0.9939,
         0.9939, 0.9945, 0.9939, 0.9943, 0.9939, 0.9942, 0.9942, 0.9938, 0.9941,
         0.9949, 0.9933, 0.9943, 0.9941, 0.9950, 0.9940, 0.9920, 0.9915, 0.9941,
         0.9937, 0.9942, 0.9939, 0.9940, 0.9940, 0.9936, 0.9910, 0.9944, 0.9949,
         0.9942, 0.9942, 0.9941, 0.9934, 0.9938, 0.9942, 0.9943, 0.9941, 0.9937,
         0.9944, 0.9943, 0.9940, 0.9942, 0.9942, 0.9951, 0.9944, 0.9903, 0.9948,
         0.9930, 0.9943, 0.9943, 0.9940, 0.9940, 0.9941, 0.9942, 0.9949, 0.9943,
         0.9938, 0.9938, 0.9909, 0.9940, 0.9942, 0.9944, 0.9931, 0.9942, 0.9940,
         0.9925, 0.9938, 0.9944, 0.9951, 0.9942, 0.9922, 0.9940, 0.9941, 0.9930,
         0.9934, 0.9936, 0.9946, 0.9948, 0.9939, 0.9942, 0.9940, 0.9941, 0.9949,
         0.9938, 0.9940, 0.9943, 0.9937, 0.9924, 0.9941, 0.9940, 0.9943, 0.9941,
         0.9943, 0.9937, 0.9935, 0.9942, 0.9940, 0.9942, 0.9941, 0.9942, 0.9950,
         0.9937, 0.9943, 0.9941, 0.9930, 0.9944, 0.9937, 0.9941, 0.9943, 0.9943,
         0.9950, 0.9948, 0.9945, 0.9941, 0.9936, 0.9935, 0.9935, 0.9922, 0.9942,
         0.9939, 0.9942, 0.9941, 0.9943, 0.9938, 0.9945, 0.9940, 0.9951, 0.9942,
         0.9941, 0.9944, 0.9942, 0.9942, 0.9916, 0.9940, 0.9938, 0.9940, 0.9942,
         0.9942, 0.9942, 0.9943, 0.9938, 0.9904, 0.9940, 0.9942, 0.9924, 0.9940,
         0.9939, 0.9943, 0.9942, 0.9939, 0.9943, 0.9943, 0.9941, 0.9939, 0.9939,
         0.9942, 0.9944, 0.9940, 0.9938, 0.9936, 0.9942, 0.9942, 0.9941, 0.9941,
         0.9943, 0.9938, 0.9937, 0.9942, 0.9913, 0.9943, 0.9941, 0.9945, 0.9943,
         0.9939, 0.9942, 0.9940, 0.9943, 0.9938, 0.9945, 0.9941, 0.9942, 0.9942,
         0.9899, 0.9941, 0.9942, 0.9941, 0.9938, 0.9943, 0.9941, 0.9942, 0.9938,
         0.9948, 0.9948, 0.9939, 0.9942, 0.9939, 0.9941, 0.9939, 0.9941, 0.9941,
         0.9941, 0.9941, 0.9939, 0.9939, 0.9909, 0.9942, 0.9942, 0.9940, 0.9940,
         0.9943, 0.9938, 0.9939, 0.9941, 0.9933, 0.9942, 0.9941, 0.9941, 0.9940,
         0.9940, 0.9950, 0.9932, 0.9943, 0.9942, 0.9942, 0.9941, 0.9940, 0.9937,
         0.9943, 0.9939, 0.9939, 0.9943, 0.9942, 0.9939, 0.9941, 0.9937, 0.9934,
         0.9942, 0.9943, 0.9942, 0.9942, 0.9939, 0.9939, 0.9948, 0.9941, 0.9940,
         0.9937, 0.9941, 0.9939, 0.9919, 0.9940, 0.9940, 0.9942, 0.9940, 0.9943,
         0.9940, 0.9939, 0.9940, 0.9937, 0.9938, 0.9937, 0.9942, 0.9943, 0.9931,
         0.9941, 0.9942, 0.9940, 0.9942, 0.9940, 0.9942, 0.9943, 0.9940, 0.9941,
         0.9943, 0.9942, 0.9940, 0.9942, 0.9942, 0.9941, 0.9940, 0.9939, 0.9941,
         0.9941, 0.9941, 0.9940, 0.9951, 0.9941, 0.9942, 0.9941, 0.9942, 0.9944,
         0.9942, 0.9943, 0.9941, 0.9939, 0.9942, 0.9938, 0.9943, 0.9943, 0.9943,
         0.9942, 0.9938, 0.9937, 0.9938, 0.9922, 0.9933, 0.9942, 0.9941, 0.9942,
         0.9916, 0.9942, 0.9942, 0.9926, 0.9942, 0.9941, 0.9940, 0.9939, 0.9940,
